Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Sklep 20,"BUK, ul. Przemysłowa 2",52.3514318,16.5251315,"Przemysłowa 2, 64-320 Buk, Poland",Match,Google
Sklep 21,"BYDGOSZCZ, ul. Wojska Polskiego 8a",53.1141547,18.0175993,"Wojska Polskiego 8A, 85-162 Bydgoszcz, Poland",Match,Google
Sklep 22,"BYDGOSZCZ, ul. Bielicka 21",53.1136907,17.9572177,"Ikar ul, Szubińska, 85-312 Bydgoszcz, Poland",Match,Google
Sklep 23,"BYDGOSZCZ, ul. Osówiec 72",53.148171,17.9206845,"Osówiec 72, 86-014, Poland",Partial Match,Google
Sklep 24,"BYDGOSZCZ, ul. Stawowa 37",53.1214785,17.9698206,"Stawowa 37, 85-323 Bydgoszcz, Poland",Match,Google
Sklep 25,"BYDGOSZCZ, ul. Stawowa 63",53.1175329,17.956453,"Stawowa 63, 85-323 Bydgoszcz, Poland",Match,Google
Sklep 26,"BYDGOSZCZ, ul. Twardzickiego 40",53.152487,18.136421,"Józefa Twardzickiego 40, 85-796 Bydgoszcz, Poland",Match,Google
Sklep 27,"BYSTRZYCA KŁODZKA, ul. Mickiewicza 3",50.299954,16.646314,"Adama Mickiewicza 3, 57-500 Bystrzyca Kłodzka, Poland",Match,Google
Sklep 28,"BYTOM, ul. Łużycka 82a",50.3546896,18.8975527,"Łużycka 82a, 41-902 Bytom, Poland",Match,Google
Sklep 29,"BYTOM, ul. Strzelców Bytomskich 228",50.3913576,18.8814547,"Strzelców Bytomskich 228, 41-933 Bytom, Poland",Match,Google
Sklep 30,"BYTOM, ul. Wrocławska 134",50.3510596,18.8878286,"Wrocławska 134, 41-902 Bytom, Poland",Match,Google
Sklep 31,"BYTÓW, ul. Gen.Sikorskiego 42",54.17351,17.490043,"Generała Sikorskiego 42, 84-342 Bytów, Poland",Match,Google
Sklep 32,"CHEŁMNO, ul. Polna 6",53.350611,18.437185,"Polna 6, 86-200 Chełmno, Poland",Match,Google
Sklep 33,"CHEŁMŻA, ul. Gen.Wł.Sikorskiego 36a",53.1847768,18.6036408,"Generała Władysława Sikorskiego 36a, 87-140 Chełmża, Poland",Match,Google
Sklep 34,"CHOCIANÓW, ul. Dominialnia 18",51.417518,15.893617,"Dominialna 18, 59-140 Chocianów, Poland",Partial Match,Google
Sklep 35,"CHOJNA, ul. Kościuszki 19",52.959194,14.4344999,"Kościuszki 19, 74-500 Chojna, Poland",Match,Google
Sklep 36,"CHOJNICE, ul. Niepodległości 3a",53.6937342,17.5642381,"Plac Niepodległości 3A, 89-620 Chojnice, Poland",Match,Google
Sklep 37,"CHOJNICE, ul. Człuchowska 57 b",53.6938895,17.5440964,"Człuchowska 57b, 89-600 Chojnice, Poland",Match,Google
Sklep 38,"CHOJNÓW, ul. Legnicka 68",51.269196,15.9479599,"Legnicka 68, 59-224 Chojnów, Poland",Match,Google
Sklep 39,"CHORZÓW, ul. 3 Maja 89",50.302031,18.9377201,"3 Maja 89, 41-500 Chorzów, Poland",Match,Google
Sklep 40,"CHORZÓW, ul. Hajducka 57",50.2870193,18.949873,"Hajducka 57, 41-500 Chorzów, Poland",Match,Google
Sklep 41,"CHORZÓW, ul. Racławicka 20",50.2801722,18.9510881,"Racławicka 20, 41-506 Chorzów, Poland",Match,Google
Sklep 42,"CHOSZCZNO, ul. Bohaterów Warszawy 19",53.170372,15.416905,"Bohaterów Warszawy 19, 73-200 Choszczno, Poland",Match,Google
Sklep 43,"CHRZANÓW, ul. Stara Huta 2A",50.1361391,19.4002178,"Stara Huta 2A, 32-500 Chrzanów, Poland",Match,Google
Sklep 44,"CZAPLINEK, ul. Bydgoska 2",53.5541049,16.2368354,"Bydgoska 2, 78-440 Czaplinek, Poland",Match,Google
Sklep 45,"CZECHOWICE-DZIEDZICE, ul. Jana Kasprowicza 44",49.9210371,19.0055687,"Jana Kasprowicza 44, 43-500 Czechowice-Dziedzice, Poland",Match,Google
Sklep 46,"CZELADŹ, ul. Lwowska 2a",50.30785,19.0943455,"Lwowska 2a, 41-253 Czeladź, Poland",Match,Google
Sklep 47,"CZERSK, ul. Marsz. J. Piłsudskiego 2",53.7992246,17.9753605,"Marszałka Józefa Piłsudskiego 2, 89-650 Czersk, Poland",Match,Google
Sklep 48,"CZERWIONKA, ul. 3 Maja 38",50.1539806,18.6668837,"3 Maja 38, 44-230 Czerwionka-Leszczyny, Poland",Match,Google
Sklep 49,"CZĘSTOCHOWA, ul. Bór 41A",50.7924099,19.127076,"Bór 41A, 42-202 Częstochowa, Poland",Match,Google
Sklep 50,"CZĘSTOCHOWA, ul. Warszawska 359",50.8405409,19.1639619,"Warszawska 359, 42-209 Częstochowa, Poland",Match,Google
Sklep 51,"CZĘSTOCHOWA, ul. Św. Barbary 77",50.8039029,19.0911561,"Świętej Barbary 77, 42-226 Częstochowa, Poland",Match,Google
Sklep 52,"CZŁUCHÓW, Plac Wolności 1",53.667292,17.357621,"Plac Wolności 1, 77-300 Człuchów, Poland",Match,Google
Sklep 53,"DARŁOWO, ul. Lutosławskiego 2",54.419208,16.416648,"Witolda Lutosławskiego 2, 76-150 Darłowo, Poland",Match,Google
Sklep 54,"DĄBROWA GÓRNICZA, ul. 11 Listopada 22",50.3266179,19.2195699,"11 Listopada 22, 41-300 Dąbrowa Górnicza, Poland",Match,Google
Sklep 55,"DĘBNO, ul. Mickiewicza 13",52.739478,14.700276,"Adama Mickiewicza 13, 74-400 Dębno, Poland",Match,Google
Sklep 56,"DĘBNO, ul. Kostrzyńska 31",52.7223374,14.6939071,"Kostrzyńska 31, 74-400 Dębno, Poland",Match,Google
Sklep 57,"DOBRA, ul. Szczecińska 7",53.487165,14.390264,"Szczecińska 7, 72-003 Dobra, Poland",Match,Google
Sklep 58,"DOBRE MIASTO, ul. Fabryczna 9",53.988633,20.389587,"Fabryczna 9, 11-040 Dobre Miasto, Poland",Match,Google
Sklep 59,"DRAWSKO POM., ul. Gdyńska 4a",53.5313919,15.805836,"Gdyńska 4a, 78-500 Drawsko Pomorskie, Poland",Match,Google
Sklep 60,"DREZDENKO, ul. Kościuszki 20",52.836657,15.831222,"Kościuszki 20, 66-530 Drezdenko, Poland",Match,Google
Sklep 61,"DZIAŁDOWO, ul. Grunwaldzka 1a",53.2369189,20.1702919,"Grunwaldzka 1a, 13-200 Działdowo, Poland",Match,Google
Sklep 62,"DZIERŻONIÓW, ul. Batalionów Chłopskich 10",50.7251444,16.6530896,"Batalionów Chłopskich 10, 58-200 Dzierżoniów, Poland",Match,Google
Sklep 63,"GARWOLIN, Al. Legionów 1",51.893459,21.619543,"aleja Legionów 1, 08-400 Garwolin, Poland",Match,Google
Sklep 64,"GDAŃSK, ul. Kalinowa 3",54.3521178,18.5129582,"Kalinowa 3, 80-177 Gdańsk, Poland",Match,Google
Sklep 65,"GDAŃSK, ul. Rajska 10",54.3564868,18.6488738,"Rajska 10, 80-850 Gdańsk, Poland",Match,Google
Sklep 66,"GDAŃSK, ul. Rakoczego 13",54.3583718,18.5832396,"Rakoczego 13, 80-288 Gdańsk, Poland",Match,Google
Sklep 67,"GDAŃSK, ul. Świętokrzyska 50",54.3210034,18.5971688,"Świętokrzyska 50, 80-180 Gdańsk, Poland",Match,Google
Sklep 68,"GDAŃSK, ul. Warszawska 19",54.3361753,18.5973221,"Warszawska 19, 80-980 Gdańsk, Poland",Match,Google
Sklep 69,"GDAŃSK STRASZYN, ul. Objazdowa 5A",54.27899,18.593321,"Objazdowa 5A, 83-010 Straszyn, Poland",Match,Google
Sklep 70,"GDYNIA, ul. Pucka 1",54.5434928,18.4687884,"Pucka 1, 81-036 Gdynia, Poland",Match,Google
Sklep 71,"GDYNIA POGÓRZE, ul. Stefana Czarnieckiego 2",54.563932,18.499786,"Stefana Czarnieckiego 2, 81-198 Gdynia, Poland",Match,Google
Sklep 72,"GLIWICE, ul. Kurpiowska 2c",50.3216423,18.7019588,"Kurpiowska 2C, 44-105 Gliwice, Poland",Match,Google
Sklep 73,"GLIWICE, ul. Lotników 78",50.2819493,18.6757649,"Lotników 78, 44-100 Gliwice, Poland",Match,Google
Sklep 74,"GŁOGÓW, ul. Armii Krajowej 21",51.6619789,16.075677,"Armii Krajowej 21, 67-210 Głogów, Poland",Match,Google
Sklep 75,"GŁOGÓW, ul. Kazimierza Wielkiego 103",51.652539,16.104065,"Kazimierza Wielkiego 103, 67-200 Głogów, Poland",Match,Google
Sklep 76,"GŁUCHOŁAZY, ul. Grunwaldzka 2D",50.317654,17.3895318,"Grunwaldzka 2D, 48-340 Głuchołazy, Poland",Match,Google
Sklep 77,"GNIEW, ul. Lipowa 1",53.8382993,18.8163294,"Lipowa 1, 83-140 Gniew, Poland",Match,Google
Sklep 78,"GNIEZNO, ul. Żwirki i Wigury 2",52.53895,17.6077449,"Żwirki i Wigury 2, 62-200 Gniezno, Poland",Match,Google
Sklep 79,"GOLENIÓW, ul. Władysława Jagiełły 16",53.5676333,14.8330208,"Króla Władysława Jagiełły 16, 72-100 Goleniów, Poland",Match,Google
Sklep 80,"GOLENIÓW, ul. Szczecińska 2",53.562675,14.825721,"Szczecińska 2, 72-100 Goleniów, Poland",Match,Google
Sklep 81,"GOŁKÓW, ul. Pułku IV Ułanów 1C",52.0478057,20.9887461,"Pułku IV Ułanów 1c, 05-502 Gołków, Poland",Match,Google
Sklep 82,"GORZÓW WIELKOPOLSKI, ul. Czarnieckiego 11",52.7536695,15.2337904,"Czarnieckiego 11, 66-400 Gorzów Wielkopolski, Poland",Match,Google
Sklep 83,"GORZÓW WIELKOPOLSKI, ul. Szarych Szeregów 10",52.7614571,15.2708087,"Szarych Szeregów 10, 66-400 Gorzów Wielkopolski, Poland",Match,Google
Sklep 84,"GORZÓW WIELKOPOLSKI, ul. Matejki 46a",52.7353803,15.2095766,"Matejki 46A, 66-400 Gorzów Wielkopolski, Poland",Match,Google
Sklep 85,"GORZÓW WIELKOPOLSKI, ul. Piłsudskiego 13",52.7429688,15.2434306,"Piłsudskiego 13, 66-400 Gorzów Wielkopolski, Poland",Match,Google
Sklep 86,"GORZÓW WIELKOPOLSKI, ul. Fabryczna 5",52.727219,15.239663,"Fabryczna 5, 66-400 Gorzów Wielkopolski, Poland",Match,Google
Sklep 87,"GOSTYNIN, ul. Legionów Polskich 16",52.4245258,19.4586087,"Legionów Polskich 16, 09-500 Gostynin, Poland",Match,Google
Sklep 88,"GOSTYŃ, Pl. Marcinkowskiego 12",51.882307,17.013036,"plac Karola Marcinkowskiego 12, 63-800 Gostyń, Poland",Match,Google
Sklep 89,"GÓRA, ul. Targowa 3",51.667046,16.5366221,"Targowa 3, 56-200 Góra, Poland",Match,Google
Sklep 90,"GRODZISK MAZOWIECKI, ul. Matejki 11",52.1149187,20.6222794,"Jana Matejki 11, 05-825 Grodzisk Mazowiecki, Poland",Match,Google
Sklep 91,"GRODZISK WIELKOPOLSKI, ul. Poznańska 36a",52.2224359,16.372393,"Poznańska 36A, 62-065 Grodzisk Wielkopolski, Poland",Match,Google
Sklep 92,"GRUDZIĄDZ, ul. Chełmińska 114",53.471908,18.7436939,"Chełmińska 114, 86-300 Grudziądz, Poland",Match,Google
Sklep 93,"GRUDZIĄDZ, ul. Legionów 40",53.498036,18.7638909,"Legionów 40, 86-302 Grudziądz, Poland",Match,Google
Sklep 94,"GRYFICE, ul. Kościuszki 15",53.914824,15.1944749,"Tadeusza Kościuszki 15, 72-300 Gryfice, Poland",Match,Google
Sklep 95,"GRYFINO, ul. Krasińskiego 77c",53.25412,14.497595,"Krasińskiego 77c, 74-100 Gryfino, Poland",Match,Google
Sklep 96,"GUBIN, ul. 3 Maja 6",51.9520989,14.7282407,"3 Maja 6, 66-635 Gubin, Poland",Match,Google
Sklep 97,"IŁAWA, ul. Smolki 23a",53.5840639,19.5628898,"Franciszka Smolki 23a, 14-202 Iława, Poland",Match,Google
Sklep 98,"INOWROCŁAW, al. Niepodległości 35a",52.7850318,18.2544314,"aleja Niepodległości 35A, 88-110 Inowrocław, Poland",Match,Google
Sklep 99,"INOWROCŁAW, ul. Św. Ducha 93",52.7967437,18.2752607,"Świętego Ducha 93, 88-110 Inowrocław, Poland",Match,Google
Sklep 100,"JAROCIN, ul. Kościuszki 45",51.967265,17.498259,"Tadeusza Kościuszki 45, 63-200 Jarocin, Poland",Match,Google
Sklep 101,"JASTRZĘBIE-ZDRÓJ, al. Jana Pawła II 2",49.9495159,18.5876839,"Aleja Jana Pawła II 2, 44-330 Jastrzębie-Zdrój, Poland",Match,Google
Sklep 102,"JAWORZE, Bielska 35A",49.8063249,18.9476035,"Bielska 35a, 43-384 Jaworze, Poland",Match,Google
Sklep 103,"JAWORZNO, ul. Grunwaldzka 165",50.212504,19.258336,"Grunwaldzka 165, 43-600 Jaworzno, Poland",Match,Google
Sklep 104,"JAWORZNO, ul. Dąbrowska 7",50.2270167,19.2207854,"Dąbrowska 7, 43-603 Jaworzno, Poland",Match,Google
Sklep 105,"JELENIA GÓRA, ul. Cieplicka 81",50.863608,15.6620498,"Cieplicka 81, 58-560 Jelenia Góra, Poland",Match,Google
Sklep 106,"JELENIA GÓRA, al. Wojska Polskiego 13",50.9015845,15.744086,"aleja Wojska Polskiego 13, 58-500 Jelenia Góra, Poland",Match,Google
Sklep 107,"JĘDRZEJÓW, ul. 11 Listopada 126",50.6482902,20.2916631,"11 Listopada 126, 28-300 Jędrzejów, Poland",Match,Google
Sklep 108,"KALISZ, ul. Legionów 7",51.7537953,18.0836924,"Legionów 7, 62-800 Kalisz, Poland",Match,Google
Sklep 109,"KALISZ, ul. Długa 2 - 4",51.7801509,18.090011,"Długa 2/4, 62-800 Kalisz, Poland",Match,Google
Sklep 110,"KAMIEŃ POMORSKI, ul. Dworcowa 4",53.967348,14.775669,"Dworcowa 4, 72-400 Kamień Pomorski, Poland",Match,Google
Sklep 111,"KAMIEŃ POMORSKI, ul. Moniuszki 4",53.9713518,14.7721877,"Stanisława Moniuszki 4, 72-400 Kamień Pomorski, Poland",Match,Google
Sklep 112,"KARPACZ, ul. Konstytucji 3-go Maja 6b",50.7823987,15.7638017,"Konstytucji 3-ego Maja 3/6b, 58-540 Karpacz, Poland",Partial Match,Google
Sklep 113,"KATOWICE, ul. Armii Krajowej 208",50.1964896,18.9784895,"Armii Krajowej 208, 40-750 Katowice, Poland",Match,Google
Sklep 114,"KATOWICE, ul. Piotrowicka 98",50.2309236,18.9731748,"Piotrowicka 98, 40-724 Katowice, Poland",Match,Google
Sklep 115,"KATOWICE, ul. Żelazna 23",50.2638803,19.0043469,"Żelazna 23, 40-851 Katowice, Poland",Match,Google
Sklep 116,"KĘDZIERZYN-KOŹLE, ul. Kosmonautów 6",50.3468994,18.2196982,"Kosmonautów 6, 47-220 Kędzierzyn-Koźle, Poland",Match,Google
Sklep 117,"KĘPNO, ul. Boczna 2",51.289467,17.996158,"Boczna 2, 63-600 Kępno, Poland",Match,Google
Sklep 118,"KĘTRZYN, ul. Rynkowa 2",54.085466,21.3719359,"Rynkowa 2, 11-401 Kętrzyn, Poland",Match,Google
Sklep 119,"KLUCZBORK, ul. Ossowskiego 58a",50.9858737,18.2085155,"Ossowskiego 58a, 46-203 Kluczbork, Poland",Match,Google
Sklep 120,"KŁOBUCK, ul. Wieluńska 31d",50.9033872,18.9316884,"Wieluńska 31d, 42-100 Kłobuck, Poland",Match,Google
Sklep 121,"KŁODAWA, ul. Poznańska 3",52.254981,18.912005,"Poznańska 3, 62-650 Kłodawa, Poland",Match,Google
Sklep 122,"KNURÓW, ul. Mieszka I 6",50.2303974,18.6637696,"Mieszka I 6, 44-194 Knurów, Poland",Match,Google
Sklep 123,"KOŁO, ul. PCK 2",52.202134,18.6297351,"PCK 2, 62-600 Koło, Poland",Match,Google
Sklep 124,"KOŁOBRZEG, ul. Gryfitów 1",54.1745411,15.589154,"Gryfitów 1, 78-100 Kołobrzeg, Poland",Match,Google
Sklep 125,"KOŁOBRZEG, ul. Grzybowska 3",54.1611,15.52299,"Grzybowska 3, 78-105 Kołobrzeg, Poland",Match,Google
Sklep 126,"KOŁOBRZEG, ul. Jedności Narodowej 22 f",54.1749048,15.5509855,"Jedności Narodowej 22f, 78-100 Kołobrzeg, Poland",Match,Google
Sklep 127,"KOMORNIKI, ul. Nizinna 10",52.3380463,16.8150009,"Nizinna 10, 62-052 Komorniki, Poland",Match,Google
Sklep 128,"KONIN, ul. Chopina 24",52.231383,18.2589035,"Fryderyka Chopina 24, 62-510 Konin, Poland",Match,Google
Sklep 129,"KONIN, ul.Szarych Szeregów 1 D",52.2084444,18.2553737,"Szarych Szeregów 1d, 62-500 Konin, Poland",Match,Google
Sklep 130,"KOŃSKIE, ul. Warszawska 21",51.195163,20.4080901,"Warszawska 21, 26-200 Końskie, Poland",Match,Google
Sklep 131,"KOSTRZYN NAD ODRĄ, ul. Handlowa 6",52.5854038,14.6518627,"Handlowa 6, 66-470 Kostrzyn nad Odrą, Poland",Match,Google
Sklep 132,"KOSTRZYN WLKP., ul. Poznańska 118",52.397851,17.2083659,"Poznańska 118, 62-025 Kostrzyn, Poland",Match,Google
Sklep 133,"KOSZALIN, ul. Poprzeczna 2",54.1824784,16.1843604,"Poprzeczna 2, 75-815 Koszalin, Poland",Match,Google
Sklep 134,"KOSZALIN, ul. Śniadeckich 6",54.207562,16.203674,"Śniadeckich 6, 75-453 Koszalin, Poland",Match,Google
Sklep 135,"KOSZALIN, ul. Witolda Pileckiego 10",54.192316,16.194523,"Pileckiego 10, 75-403 Koszalin, Poland",Match,Google
Sklep 136,"KOSZALIN, ul. Władysława IV 46",54.204348,16.1857419,"Władysława IV 46, 75-347 Koszalin, Poland",Match,Google
Sklep 137,"KOŚCIAN, ul. Surzyńskiego 11A",52.0807239,16.6385579,"Księdza Józefa Surzyńskiego 11a, 64-000 Kościan, Poland",Match,Google
Sklep 138,"KOŚCIERZYNA, ul. Marii Skłodowskiej-Curie 11",54.122341,17.9706579,"Marii Skłodowskiej-Curie 11, 83-400 Kościerzyna, Poland",Match,Google
Sklep 139,"KOWARY, ul. Dworcowa 15",50.7987486,15.8273724,"Dworcowa 15, 58-530 Kowary, Poland",Match,Google
Sklep 140,"KOŻUCHÓW, ul. 22 Lipca 8",51.7447482,15.6053572,"22 Lipca 8, 67-120 Kożuchów, Poland",Match,Google
Sklep 141,"KÓRNIK, ul. Poznańska 87",52.2559245,17.0770576,"Poznańska 87, 62-035 Kórnik, Poland",Match,Google
Sklep 142,"KROSNO ODRZAŃSKIE, ul. 17 Pionierów 4",52.053522,15.114969,"Pionierów 4, 66-600 Krosno Odrzańskie, Poland",Match,Google
Sklep 143,"KROTOSZYN, ul. Kobylinska 5",51.697739,17.42631,"Kobylińska 5, 63-700 Krotoszyn, Poland",Match,Google
Sklep 144,"KWIDZYN, ul.Słowackiego 14",53.728333,18.940454,"Słowackiego 14, 82-500 Kwidzyn, Poland",Match,Google
Sklep 145,"LEGIONOWO, ul.Olszankowa 56",52.421179,20.9281051,"Olszankowa 56, 05-119 Legionowo, Poland",Match,Google
Sklep 146,"LEGIONOWO, ul. Zygmunta Krasińskiego 72",52.3972575,20.9192925,"Zygmunta Krasińskiego 72, 05-120 Legionowo, Poland",Match,Google
Sklep 147,"LEGNICA, ul. Czarnieckiego 37",51.2104702,16.1797902,"Stefana Czarnieckiego 37, 59-200 Legnica, Poland",Match,Google
Sklep 148,"LESZNO, ul. Zamenhofa 87h",51.8352049,16.5972769,"Zamenhofa 87H, 64-100 Leszno, Poland",Match,Google
Sklep 149,"LESZNO, ul. Lipowa 41",51.8355672,16.5781952,"Lipowa 41, 64-100 Leszno, Poland",Match,Google
Sklep 150,"LĘBORK, ul. Dąbrowskiego 4",54.540834,17.751984,"Dąbrowskiego 4, 84-300 Lębork, Poland",Match,Google
Sklep 151,"LĘDZINY, ul. Lędzińska 16",50.140653,19.121311,"Lędzińska 16, 43-140 Lędziny, Poland",Match,Google
Sklep 152,"LIBIĄŻ, ul. Oświęcimska 12",50.1062919,19.3249609,"Oświęcimska 12, 32-590 Libiąż, Poland",Match,Google
Sklep 153,"LIPNO, ul. 22 stycznia 2",52.8476933,19.179301,"22 Stycznia 2, 87-600 Lipno, Poland",Match,Google
Sklep 154,"LUBAŃ, ul. Rybacka 13",51.1173892,15.2933523,"Rybacka 13, 59-800 Lubań, Poland",Match,Google
Sklep 155,"LUBICZ GÓRNY, ul. Bankowa 1",53.025722,18.771304,"Bankowa 1, 87-162 Lubicz Górny, Poland",Match,Google
Sklep 156,"LUBIN, ul. Szpakowa 21",51.382612,16.2121045,"Szpakowa 21, 59-300 Lubin, Poland",Match,Google
Sklep 157,"LUBLINIEC, ul. Cmentarna 2",50.668069,18.6920761,"Cmentarna 2, 42-700 Lubliniec, Poland",Match,Google
Sklep 158,"LUBOŃ, ul. Żabikowska 34",52.345401,16.877407,"Żabikowska 34, 62-030 Luboń, Poland",Match,Google
Sklep 159,"LUBSKO, ul. Kanałowa 2",51.790103,14.97168,"Kanałowa 2, 68-300 Lubsko, Poland",Match,Google
Sklep 160,"LUZINO, ul. Ofiar Stutthofu 12 B",54.566034,18.103439,"Ofiar Stutthofu 12, 84-242 Luzino, Poland",Match,Google
Sklep 161,"LWÓWEK ŚLĄSKI, ul. Betleja 2a",51.1093104,15.5924728,"Betleja 2a, 59-600 Lwówek Śląski, Poland",Match,Google
Sklep 162,"ŁASK, ul. Górna 9",51.5901619,19.1304774,"Górna 9, 98-100 Łask, Poland",Match,Google
Sklep 163,"ŁAZISKA GÓRNE, ul. Wyrska 8a",50.1361968,18.8740923,"Wyrska 8A, 43-170 Łaziska Górne, Poland",Match,Google
Sklep 164,"ŁĘCZYCA, ul. Ozorkowska 27",52.0556259,19.2041039,"Ozorkowska 27, 99-101 Łęczyca, Poland",Match,Google
Sklep 165,"ŁOBEZ, ul. Pocztowa 22a",53.638017,15.623663,"Pocztowa 22a, 73-150 Łobez, Poland",Match,Google
Sklep 166,"ŁODYGOWICE, ul. Żywiecka 79",49.7299252,19.1317144,"Żywiecka 79, 34-325 Łodygowice, Poland",Match,Google
Sklep 167,"ŁOMIANKI, ul. Warszawska 171",52.3447059,20.8723342,"Warszawska 171, 05-092 Łomianki, Poland",Match,Google
Sklep 168,"ŁÓDŹ, ul. Zakładowa 38/40",51.7423742,19.561087,"NETTO, Zakładowa 38/40, 92-402 Łódź, Poland",Match,Google
Sklep 169,"ŁÓDŹ, ul. Srebrzyńska 8",51.77415,19.4324599,"Srebrzyńska 8, 91-074 Łódź, Poland",Match,Google
Sklep 170,"ŁÓDŹ, ul. Urocza 4",51.8246823,19.4357632,"Urocza 4, 91-495 Łódź, Poland",Match,Google
Sklep 171,"ŁÓDŹ, ul. Pomorska 65A",51.777898,19.4695971,"Pomorska 65a, 90-218 Łódź, Poland",Match,Google
Sklep 172,"ŁÓDŹ, ul. Byszewska 3",51.7941795,19.5928414,"Byszewska 3, 92-701 Łódź, Poland",Match,Google
Sklep 173,"ŁÓDŹ, ul. Karola Adamieckiego 16",51.7611583,19.539445,"Karola Adamieckiego 16, 92-305 Łódź, Poland",Match,Google
Sklep 174,"ŁÓDŹ, ul. Franciszkańska 142/157",51.798131,19.4602448,"Franciszkańska 142, 91-857 Łódź, Poland",Match,Google
Sklep 175,"ŁÓDŹ, ul. Wojska Polskiego 2",51.7838229,19.4545278,"Jojne Pilcer, Wojska Polskiego 2, 90-001 Łódź, Poland",Match,Google
Sklep 176,"ŁÓDŹ, ul. Maratońska 109A",51.737302,19.3847439,"Maratońska 109A, 94-007 Łódź, Poland",Match,Google
Sklep 177,"MALBORK, ul. Sikorskiego 50",54.0326222,19.0406511,"Generała Władysława Sikorskiego 50, 82-200 Malbork, Poland",Match,Google
Sklep 178,"MIASTKO, ul. Długa 11",54.003578,16.986201,"Długa 11, 77-201 Miastko, Poland",Match,Google
Sklep 179,"MICHAŁOWICE-OSIEDLE, ul. Jesionowa 1F",52.1786748,20.8826426,"Jesionowa 1F, 05-816 Michałowice-Osiedle, Poland",Match,Google
Sklep 180,"MIĘDZYRZECZ, ul. Waszkiewicza 35",52.448238,15.5770851,"Waszkiewicza 35, 66-300 Międzyrzecz, Poland",Partial Match,Google
Sklep 181,"MIĘDZYZDROJE, ul. Gryfa Pomorskiego 17",53.9285013,14.4471763,"Gryfa Pomorskiego 17, 72-500 Międzyzdroje, Poland",Match,Google
Sklep 182,"MIĘDZYZDROJE, ul. Polna 67",53.918725,14.435972,"Polna 67, 72-500 Międzyzdroje, Poland",Match,Google
Sklep 183,"MILICZ, ul. Mikołaja Kopernika 2b",51.5228832,17.2683029,"Mikołaja Kopernika 2B, 56-300 Milicz, Poland",Match,Google
